,src,output
7580,0.1603015,0.1511
7581,0.19170305,0.1603
7582,0.18532366,0.1715
7583,0.17388633,0.1725
7584,0.24645619,0.2517
7585,0.2009922,0.2064
7586,0.17923042,0.1786
7587,0.16122591,0.1615
7588,0.14840232,0.1511
7589,0.15807335,0.1493
7590,0.18158741,0.165
7591,0.22866756,0.2086
7592,0.29185587,0.2656
7593,0.293638,0.275
7594,0.27123228,0.2461
7595,0.2429654,0.2247
7596,0.22539808,0.2051
7597,0.20832565,0.1959
7598,0.20277172,0.1969
7599,0.2033326,0.206
7600,0.20367964,0.2244
7601,0.22881062,0.2408
7602,0.27382565,0.2732
7603,0.32425076,0.3176
7604,0.3652564,0.3586
7605,0.3570763,0.3486
7606,0.34970436,0.3225
7607,0.3041676,0.2898
7608,0.25312784,0.2422
7609,0.20581797,0.2012
7610,0.17658755,0.1768
7611,0.1618407,0.1584
7612,0.14688325,0.1489
7613,0.15563187,0.1454
7614,0.18838626,0.1593
7615,0.2196829,0.2025
7616,0.29879394,0.261
7617,0.28789157,0.2693
7618,0.26323557,0.24
7619,0.22750017,0.2161
7620,0.21040957,0.2064
7621,0.19433789,0.1951
7622,0.18840836,0.199
7623,0.19429794,0.2134
7624,0.19891006,0.2269
7625,0.21608801,0.2491
7626,0.2484835,0.2798
7627,0.31195912,0.3188
7628,0.3658115,0.3599
7629,0.34034875,0.3508
7630,0.3565943,0.3271
7631,0.29960582,0.292
7632,0.26945153,0.2522
7633,0.24031384,0.2278
7634,0.21489857,0.213
7635,0.21963045,0.2139
7636,0.23306799,0.233
7637,0.24537368,0.2544
7638,0.27571642,0.2805
7639,0.2946783,0.297
7640,0.30562124,0.3044
7641,0.33437818,0.3232
7642,0.3548673,0.3503
7643,0.41009185,0.3887
7644,0.46476957,0.442
7645,0.5030665,0.4934
7646,0.5673101,0.5483
7647,0.6316492,0.593
7648,0.64466214,0.6294
7649,0.6747143,0.6445
7650,0.6293259,0.6216
7651,0.59954154,0.578
7652,0.53330106,0.5303
7653,0.45916697,0.456
7654,0.35882893,0.3777
7655,0.309943,0.326
7656,0.26387835,0.2888
7657,0.23448925,0.2583
7658,0.21522999,0.2339
7659,0.21859129,0.2278
7660,0.22912598,0.2439
7661,0.24321152,0.2634
7662,0.26094663,0.287
7663,0.28606096,0.3042
7664,0.30334786,0.3228
7665,0.33944592,0.353
7666,0.37370574,0.3953
7667,0.41132167,0.4465
7668,0.48547742,0.5093
7669,0.55812097,0.5703
7670,0.62684995,0.627
7671,0.689006,0.6694
7672,0.6843733,0.6978
7673,0.65503794,0.702
7674,0.62980884,0.674
7675,0.56768966,0.6304
7676,0.52273154,0.584
7677,0.4343141,0.504
7678,0.35348633,0.4226
7679,0.3012055,0.3608
7680,0.13238303,0.10266
7681,0.13935697,0.11926
7682,0.14693034,0.1384
7683,0.18489918,0.172
7684,0.22990787,0.2161
7685,0.2632254,0.2593
7686,0.2660939,0.2678
7687,0.25693622,0.2478
7688,0.2186991,0.2125
7689,0.18557455,0.1742
7690,0.15164466,0.1432
7691,0.1317155,0.1288
7692,0.13059454,0.11487
7693,0.12111373,0.1079
7694,0.12465227,0.10876
7695,0.120342225,0.1179
7696,0.13233122,0.1367
7697,0.14927574,0.1398
7698,0.12908962,0.1371
7699,0.11041941,0.11664
7700,0.10778558,0.09875
7701,0.109757215,0.087
7702,0.10366829,0.08307
7703,0.091937676,0.0852
7704,0.09606576,0.0996
7705,0.12017994,0.12274
7706,0.13491572,0.1537
7707,0.17062746,0.1969
7708,0.24105325,0.2369
7709,0.27861884,0.2805
7710,0.27811253,0.2827
7711,0.26377347,0.2534
7712,0.21740416,0.2081
7713,0.18647546,0.1637
7714,0.15124163,0.1323
7715,0.13678564,0.1136
7716,0.1289179,0.10223
7717,0.13255446,0.1014
7718,0.14948127,0.1162
7719,0.19617057,0.1559
7720,0.25476268,0.2161
7721,0.27273092,0.2474
7722,0.23638104,0.2505
7723,0.23841731,0.2417
7724,0.23359537,0.24
7725,0.21571952,0.2344
7726,0.24074009,0.2374
7727,0.21324585,0.2457
7728,0.2996551,0.2883
7729,0.28347868,0.2876
7730,0.27400658,0.2744
7731,0.25212157,0.2517
7732,0.21237126,0.2139
7733,0.17587453,0.1786
7734,0.1492276,0.1542
7735,0.12915444,0.1384
7736,0.11638518,0.1293
7737,0.11632916,0.1332
7738,0.10833813,0.1398
7739,0.116434306,0.1545
7740,0.13044299,0.1542
7741,0.14167641,0.1537
7742,0.14149074,0.141
7743,0.13123754,0.12054
7744,0.12775558,0.10834
7745,0.10577114,0.1014
7746,0.118834734,0.09656
7747,0.11768331,0.10095
7748,0.13549007,0.11316
7749,0.14639853,0.1389
7750,0.1877042,0.1725
7751,0.254971,0.2344
7752,0.2939505,0.2844
7753,0.3027565,0.2822
7754,0.2892616,0.26
7755,0.26260492,0.2203
7756,0.21723244,0.1786
7757,0.17162694,0.1628
7758,0.15743893,0.1445
7759,0.13638669,0.1354
7760,0.119766936,0.1349
7761,0.138606,0.152
7762,0.15502241,0.1859
7763,0.212543,0.2554
7764,0.26314604,0.3037
7765,0.2566886,0.2983
7766,0.2296628,0.271
7767,0.21524408,0.2422
7768,0.20537898,0.2147
7769,0.18860614,0.1956
7770,0.19940235,0.1986
7771,0.19889416,0.2056
7772,0.21556531,0.2278
7773,0.23837253,0.2483
7774,0.25761348,0.2756
7775,0.31887212,0.308
7776,0.30725673,0.2878
7777,0.34753063,0.3472
7778,0.37293047,0.3477
7779,0.3502951,0.3315
7780,0.3200788,0.3093
7781,0.284228,0.2793
7782,0.23971596,0.2374
7783,0.20384102,0.2008
7784,0.17268388,0.1725
7785,0.15967274,0.1559
7786,0.15238181,0.1481
7787,0.15520136,0.1467
7788,0.17620435,0.1633
7789,0.21221954,0.2034
7790,0.24159291,0.2512
7791,0.25909254,0.2654
7792,0.2459872,0.2505
7793,0.22195503,0.2247
7794,0.21411163,0.2047
7795,0.25127807,0.1969
7796,0.22448304,0.1942
7797,0.24627842,0.2039
7798,0.27157804,0.2195
7799,0.2766537,0.2512
7800,0.33031145,0.2954
7801,0.35568026,0.3516
7802,0.3631879,0.3499
7803,0.3396308,0.3328
7804,0.32198623,0.311
7805,0.29754645,0.28
7806,0.24157977,0.24
7807,0.19923736,0.2012
7808,0.18765363,0.1737
7809,0.16209802,0.1576
7810,0.15483731,0.1498
7811,0.15410893,0.1481
7812,0.17334998,0.1628
7813,0.21037467,0.1995
7814,0.2418651,0.2457
7815,0.24426931,0.261
7816,0.24029082,0.257
7817,0.22152674,0.2483
7818,0.21289903,0.2369
7819,0.21617341,0.2274
7820,0.21866207,0.2283
7821,0.23179054,0.2378
7822,0.24679682,0.2532
7823,0.29116082,0.2722
7824,0.6103402,0.5825
7825,0.63798904,0.593
7826,0.6099675,0.5757
7827,0.55016947,0.5474
7828,0.5242875,0.507
7829,0.44154593,0.4397
7830,0.3642426,0.3713
7831,0.31402335,0.3167
7832,0.25741693,0.2732
7833,0.23767118,0.2413
7834,0.21242073,0.2164
7835,0.20428745,0.2047
7836,0.21513677,0.1981
7837,0.22055444,0.1947
7838,0.23760135,0.2139
7839,0.2607906,0.2283
7840,0.26469216,0.2505
7841,0.28465477,0.2798
7842,0.32552287,0.3093
7843,0.33534485,0.3481
7844,0.3664019,0.3914
7845,0.39145467,0.4363
7846,0.42368984,0.477
7847,0.41258898,0.518
7848,0.53618664,0.5527
7849,0.5536713,0.5713
7850,0.5399113,0.557
7851,0.49489847,0.5303
7852,0.46643373,0.4893
7853,0.39579174,0.416
7854,0.345409,0.3438
7855,0.2832943,0.29
7856,0.24093369,0.254
7857,0.21864474,0.2283
7858,0.21408132,0.2156
7859,0.21340522,0.2208
7860,0.24246559,0.2496
7861,0.2899665,0.287
7862,0.34309635,0.3289
7863,0.35872856,0.3599
7864,0.39118165,0.3816
7865,0.37529612,0.4153
7866,0.4008327,0.4482
7867,0.43068153,0.4893
7868,0.44094333,0.5347
7869,0.48373324,0.579
7870,0.4625146,0.618
7871,0.4863212,0.6533
7872,0.31673902,0.2676
7873,0.31710556,0.295
7874,0.35142103,0.3198
7875,0.34781253,0.3394
7876,0.33646587,0.3267
7877,0.30899146,0.3015
7878,0.2827175,0.2732
7879,0.22469717,0.2335
7880,0.20103823,0.1942
7881,0.1842879,0.1637
7882,0.15649815,0.1471
7883,0.14039814,0.1328
7884,0.13843255,0.1218
7885,0.13962612,0.1223
7886,0.15538448,0.1332
7887,0.17579614,0.1567
7888,0.17639185,0.1707
7889,0.16963044,0.1755
7890,0.15698107,0.165
7891,0.1696468,0.1611
7892,0.19800273,0.1545
7893,0.18699351,0.1584
7894,0.18253328,0.1733
7895,0.22579512,0.2017
7896,0.23121706,0.2264
7897,0.2652889,0.2439
7898,0.28827825,0.2683
7899,0.30786732,0.29
7900,0.307798,0.2754
7901,0.28413227,0.2522
7902,0.27483308,0.233
7903,0.23757854,0.202
7904,0.17773508,0.1698
7905,0.1636773,0.1257
7906,0.16307218,0.1445
7907,0.14222123,0.1162
7908,0.12018168,0.1096
7909,0.13190965,0.0996
7910,0.121328935,0.10266
7911,0.13587114,0.1101
7912,0.1402835,0.1197
7913,0.13385756,0.12317
7914,0.12084612,0.1276
7915,0.14232707,0.1284
7916,0.17236121,0.1267
7917,0.16806115,0.1398
7918,0.18481131,0.1628
7919,0.20926726,0.1934
7920,0.38841054,0.3992
7921,0.3697868,0.3887
7922,0.35495272,0.367
7923,0.3160378,0.3303
7924,0.27563897,0.2756
7925,0.22811681,0.2244
7926,0.20542037,0.1969
7927,0.18524769,0.1729
7928,0.17040205,0.1576
7929,0.15972503,0.1562
7930,0.16875264,0.172
7931,0.20288318,0.2139
7932,0.25808573,0.281
7933,0.27164736,0.3132
7934,0.25390187,0.3032
7935,0.24357012,0.2832
7936,0.23988858,0.2566
7937,0.24066871,0.2413
7938,0.24024786,0.2383
7939,0.24440756,0.254
7940,0.26057637,0.2678
7941,0.2962872,0.292
7942,0.33750358,0.3298
7943,0.38680324,0.3855
7944,0.37717637,0.3804
7945,0.35417756,0.3677
7946,0.34653524,0.3503
7947,0.31409043,0.3164
7948,0.2720048,0.265
7949,0.23571794,0.2142
7950,0.20653705,0.1855
7951,0.18052003,0.1633
7952,0.176182,0.1481
