,0
764,0.0528117
765,0.024523
766,-0.013791789
767,-0.020779153
768,-0.11562593
769,-0.07803072
770,-0.1278487
771,-0.10962033
772,-0.100744456
773,-0.074189305
774,-0.01826976
775,0.0115789175
776,0.015324671
777,0.017798554
778,0.016855441
779,0.024282234
780,0.017337775
781,0.013929712
782,0.010178575
783,0.010203697
784,0.008790398
785,0.024429541
786,0.055503577
787,0.07046729
788,0.071280524
789,0.05492008
790,0.018569503
791,0.017816631
792,-0.07201256
793,-0.030498436
794,-0.07014918
795,-0.05525872
796,-0.035598576
797,0.0023566748
798,0.07256419
799,0.08704867
800,0.085172825
801,0.08376796
802,0.0799957
803,0.08180442
804,0.07799964
805,0.070027776
806,0.064123265
807,0.06253301
808,0.070751116
809,0.08344424
810,0.107236505
811,0.11409294
812,0.10714318
813,0.08893045
814,0.05077735
815,0.054853797
816,-0.033604734
817,0.0034772044
818,-0.035669506
819,-0.029508768
820,-0.027603079
821,-0.0013874436
822,0.014760171
823,0.0245915
824,0.030135814
825,0.05346456
826,0.05695667
827,0.0636901
828,0.06324125
829,0.053692494
830,0.04463148
831,0.044789247
832,0.04466611
833,0.05199994
834,0.08046126
835,0.07552842
836,0.066577144
837,0.046141878
838,0.012786916
839,0.016515113
840,-0.057595175
841,-0.02801899
842,-0.08077402
843,-0.067054465
844,-0.063111894
845,-0.050918292
846,-0.039143104
847,-0.033787537
848,-0.025377944
849,-0.0105657345
850,0.0016635574
851,0.009885685
852,0.0044707577
853,0.0044662845
854,-0.0007933329
855,-0.0035390696
856,0.0018912876
857,0.003740485
858,0.012215926
859,0.014801971
860,0.017823191
861,0.0018985574
862,-0.034659993
863,-0.012687568
864,-0.11622007
865,-0.073764116
866,-0.13485287
867,-0.113494545
868,-0.10412176
869,-0.077463076
870,-0.02158959
871,-0.00028688827
872,0.006544398
873,0.012482522
874,0.022058915
875,0.034574702
876,0.037539687
877,0.045530777
878,0.043770466
879,0.04083226
880,0.045423824
881,0.050140016
882,0.05642132
883,0.072370574
884,0.07443929
885,0.050864574
886,0.007872481
887,0.01420438
888,-0.09997147
889,-0.05826472
890,-0.11721725
891,-0.09598782
892,-0.09119644
893,-0.065594785
894,-0.018880358
895,0.00534868
896,0.0044105705
897,0.012947109
898,0.029467747
899,0.04902073
900,0.065517694
901,0.078077585
902,0.09267129
903,0.09509697
904,0.10076741
905,0.10151129
906,0.09082557
907,0.08599522
908,0.08020193
909,0.048176322
910,0.0028926474
911,-0.007713052
912,-0.120889135
913,-0.074351914
914,-0.1334502
915,-0.1132784
916,-0.10616367
917,-0.08335946
918,-0.023376154
919,0.0033558162
920,0.0031633163
921,0.003977356
922,0.01430316
923,0.023877693
924,0.037103876
925,0.04514246
926,0.06266331
927,0.07142345
928,0.08418153
929,0.09479968
930,0.08529892
931,0.07998035
932,0.07467151
933,0.04093191
934,-0.010733454
935,-0.020728223
936,-0.12791464
937,-0.08213324
938,-0.13892892
939,-0.11352584
940,-0.1041774
941,-0.074924275
942,-0.004964966
943,0.027357254
944,0.032709446
945,0.03673228
946,0.03618154
947,0.030339897
948,0.023214007
949,0.0133699505
950,0.0073269536
951,0.0031973748
952,0.0027905202
953,0.0077635427
954,0.015961675
955,0.028217057
956,0.03785957
957,0.019652598
958,-0.01961503
959,-0.023942268
960,-0.120747805
961,-0.06641957
962,-0.11686398
963,-0.090961024
964,-0.08558819
965,-0.053301457
966,0.008116935
967,0.027091624
968,0.02214185
969,0.023646204
970,0.02731045
971,0.026370278
972,0.02374544
973,0.020047007
974,0.019243466
975,0.020606875
976,0.023234433
977,0.030954048
978,0.03644268
979,0.04321951
980,0.038719732
981,0.011861057
982,-0.019973889
983,-0.013480383
984,-0.10259782
985,-0.061454747
986,-0.12395762
987,-0.110676914
988,-0.105296604
989,-0.09415537
990,-0.07177171
991,-0.059282515
992,-0.03875365
993,-0.013047752
994,0.011116626
995,0.030244254
996,0.040209275
997,0.049045306
998,0.07280075
999,0.090537935
1000,0.10608673
1001,0.11382355
1002,0.10098876
1003,0.087507844
1004,0.08590446
1005,0.058865853
1006,0.012834615
1007,0.02518202
1008,-0.07709145
1009,-0.039206132
1010,-0.105883606
1011,-0.095797956
1012,-0.097841576
1013,-0.08478148
1014,-0.07141052
1015,-0.0647788
1016,-0.053118218
1017,-0.033374842
1018,-0.0079418
1019,0.010597886
1020,0.025315529
1021,0.04614991
1022,0.06156368
1023,0.075170316
1024,0.0871865
1025,0.08927522
1026,0.09205793
1027,0.08363158
1028,0.08375988
1029,0.045667473
1030,0.010799271
1031,0.0011474111
1032,-0.10452618
1033,-0.063824
1034,-0.1241121
1035,-0.10629035
1036,-0.1025093
1037,-0.0813664
1038,-0.025473977
1039,-0.003596996
1040,-0.0032418119
1041,-0.0006015658
1042,0.0029093712
1043,0.009260885
1044,0.019324286
1045,0.023797717
1046,0.03452263
1047,0.04991917
1048,0.055858206
1049,0.061517205
1050,0.079336084
1051,0.08186871
1052,0.08718905
1053,0.06452556
1054,0.020205224
1055,0.018538043
1056,-0.07979669
1057,-0.056991585
1058,-0.10676375
1059,-0.090994515
1060,-0.09505841
1061,-0.0786544
1062,-0.030224338
1063,-0.0064670886
1064,-0.0025046444
1065,-0.00019368231
1066,-0.00044063557
1067,0.007544239
1068,-0.0023198389
1069,-0.005495881
1070,-0.008804221
1071,-0.0037638904
1072,0.0011276003
1073,0.011861941
1074,0.04061419
1075,0.060318325
1076,0.06373567
1077,0.045886334
1078,0.0137153305
1079,0.014512714
1080,-0.07810443
1081,-0.039045744
1082,-0.08041562
1083,-0.055768125
1084,-0.045315214
1085,-0.0010589487
1086,0.07268309
1087,0.09737619
1088,0.08975423
1089,0.07520493
1090,0.05173237
1091,0.032995693
1092,0.020447923
1093,0.005537263
1094,-0.0024465234
1095,-0.0036390685
1096,-0.003254726
1097,0.005331403
1098,0.028037203
1099,0.04764917
1100,0.060234692
1101,0.04514624
1102,0.017249862
1103,0.018082276
1104,-0.06871713
1105,-0.024926715
1106,-0.062097345
1107,-0.03562442
1108,-0.012988138
1109,0.03099037
1110,0.10692221
1111,0.13171431
1112,0.118236
1113,0.093498304
1114,0.06109843
1115,0.029385174
1116,0.01532453
1117,7.227598e-06
1118,-0.0052496875
1119,-0.0062706606
1120,-0.008291892
1121,0.0021284523
1122,0.02119955
1123,0.03717667
1124,0.043936294
1125,0.026417207
1126,-0.0061409436
1127,-0.0058929077
1128,-0.10410581
1129,-0.059828088
1130,-0.10518224
1131,-0.07751399
1132,-0.067997254
1133,-0.027717868
1134,0.043884207
1135,0.06540404
1136,0.054030158
1137,0.04566592
1138,0.033393573
1139,0.019515177
1140,0.006866793
1141,0.0029300165
1142,0.003141459
1143,0.0064515816
1144,0.013586869
1145,0.01830646
1146,0.032520875
1147,0.036161352
1148,0.03202242
1149,0.010028431
1150,-0.024156267
1151,-0.026186502
1152,-0.112993
1153,-0.07003365
1154,-0.12791114
1155,-0.112490505
1156,-0.11122324
1157,-0.094712175
1158,-0.07843561
1159,-0.05853561
1160,-0.04437369
1161,-0.026409658
1162,-0.0060464563
1163,0.0058413446
1164,0.016184853
1165,0.03228847
1166,0.04315088
1167,0.0542418
1168,0.065315425
1169,0.074928604
1170,0.07331819
1171,0.06189054
1172,0.051583953
1173,0.02402782
1174,-0.018883253
1175,0.009392911
1176,-0.09016251
1177,-0.052021347
1178,-0.11907528
1179,-0.096114516
1180,-0.098042004
1181,-0.08509274
1182,-0.072362505
1183,-0.06480409
1184,-0.05045866
1185,-0.022222431
1186,0.007321635
1187,0.024654921
1188,0.040469978
1189,0.051094785
1190,0.054599617
1191,0.06281048
1192,0.063338615
1193,0.06279217
1194,0.063287705
1195,0.0736262
1196,0.07790633
1197,0.053071693
1198,0.014168749
1199,0.009364435
1200,-0.12125083
1201,-0.09024743
1202,-0.14696619
