,0
966,0.0053711366
967,0.031071095
968,0.020905577
969,0.025043635
970,0.03092782
971,0.029224593
972,0.027437983
973,0.025171693
974,0.02645396
975,0.025713645
976,0.029019587
977,0.033297516
978,0.03612154
979,0.042036727
980,0.041623883
981,0.011508599
982,-0.014991045
983,-0.0317479
984,-0.07335391
985,-0.088731155
986,-0.114168584
987,-0.113482244
988,-0.105936065
989,-0.09967819
990,-0.07957253
991,-0.05937845
992,-0.031881902
993,-0.006968147
994,0.013483942
995,0.030274093
996,0.042441744
997,0.057084933
998,0.07758573
999,0.09589884
1000,0.11206358
1001,0.11721916
1002,0.10567078
1003,0.0946484
1004,0.085143045
1005,0.0604205
1006,0.02132155
1007,0.0019876063
1008,-0.054009415
1009,-0.07127085
1010,-0.098025694
1011,-0.09796768
1012,-0.09482062
1013,-0.09172691
1014,-0.08231636
1015,-0.069290265
1016,-0.048486304
1017,-0.025952958
1018,-0.004711384
1019,0.015841901
1020,0.032209832
1021,0.05237758
1022,0.0692315
1023,0.08340046
1024,0.09099737
1025,0.09292301
1026,0.08812827
1027,0.08441728
1028,0.07490037
1029,0.043006998
1030,0.008367753
1031,-0.022189263
1032,-0.07748913
1033,-0.08779405
1034,-0.11203881
1035,-0.11470118
1036,-0.10235104
1037,-0.07445483
1038,-0.026866887
1039,0.00052282214
1040,-0.007622488
1041,-0.0044879913
1042,0.0058469437
1043,0.011270747
1044,0.020025581
1045,0.029676957
1046,0.04245231
1047,0.05405976
1048,0.057668447
1049,0.07352838
1050,0.0811427
1051,0.09492725
1052,0.08716739
1053,0.058871396
1054,0.026599098
1055,-0.010778866
1056,-0.059539557
1057,-0.07645719
1058,-0.09136473
1059,-0.094643466
1060,-0.091012776
1061,-0.073664054
1062,-0.031736404
1063,-0.005328443
1064,-0.008884281
1065,-0.0047244653
1066,0.005007744
1067,0.0037623197
1068,0.00062299706
1069,-0.004330406
1070,-0.0033107195
1071,-0.002091743
1072,0.0020865314
1073,0.02058696
1074,0.04582517
1075,0.07112444
1076,0.06867006
1077,0.044306926
1078,0.016297907
1079,-0.01240328
1080,-0.050424427
1081,-0.048562415
1082,-0.057418734
1083,-0.051959008
1084,-0.033991802
1085,0.0062523307
1086,0.06322706
1087,0.10670271
1088,0.09489905
1089,0.07260795
1090,0.061356165
1091,0.03815044
1092,0.026128288
1093,0.011737917
1094,0.004247103
1095,-0.0019286238
1096,-0.0010234974
1097,0.01173551
1098,0.028845593
1099,0.054978095
1100,0.06583843
1101,0.047235534
1102,0.021275826
1103,-0.006599225
1104,-0.045876656
1105,-0.04101664
1106,-0.042872973
1107,-0.031782284
1108,-0.0056184176
1109,0.038140044
1110,0.09951321
1111,0.13951895
1112,0.12483105
1113,0.09114781
1114,0.07002098
1115,0.039127424
1116,0.019326068
1117,0.0073938332
1118,0.003198415
1119,-0.0048126876
1120,-0.0059001744
1121,0.005355876
1122,0.019741528
1123,0.039820485
1124,0.04721824
1125,0.026840135
1126,0.00042956322
1127,-0.026326753
1128,-0.07178423
1129,-0.07618308
1130,-0.08803246
1131,-0.08167828
1132,-0.065024875
1133,-0.023710996
1134,0.035543278
1135,0.072470084
1136,0.058836885
1137,0.046833765
1138,0.037769932
1139,0.02276656
1140,0.013964836
1141,0.009405054
1142,0.011742812
1143,0.012498714
1144,0.015394907
1145,0.025249772
1146,0.030682124
1147,0.03725408
1148,0.036208265
1149,0.0076022744
1150,-0.019309208
1151,-0.03916823
1152,-0.07989831
1153,-0.09251363
1154,-0.11756182
1155,-0.114712
1156,-0.10963896
1157,-0.09953737
1158,-0.08326717
1159,-0.06280477
1160,-0.038863398
1161,-0.018055635
1162,-0.007706749
1163,0.0052246433
1164,0.021383256
1165,0.034293965
1166,0.049492773
1167,0.06272103
1168,0.073962174
1169,0.07989103
1170,0.07339539
1171,0.062703714
1172,0.051453613
1173,0.02380037
1174,-0.0044138767
1175,-0.017291116
1176,-0.0623881
1177,-0.079326585
1178,-0.10438322
1179,-0.10063643
1180,-0.09857011
1181,-0.093684554
1182,-0.079357356
1183,-0.06749899
1184,-0.042198855
1185,-0.016187882
1186,0.0036698235
1187,0.019247737
1188,0.037379943
1189,0.053116925
1190,0.06424825
1191,0.07090327
1192,0.06903462
1193,0.07098679
1194,0.066568114
1195,0.07700443
1196,0.081202224
1197,0.056496687
1198,0.02693557
1199,-0.016565202
1200,-0.06823264
1201,-0.109215856
1202,-0.13783947
1203,-0.13110325
1204,-0.11326411
1205,-0.09113733
1206,-0.063681
1207,-0.044781342
1208,-0.036616415
1209,-0.015371244
1210,-0.00023680367
1211,0.011202888
1212,0.016793996
1213,0.019780435
1214,0.017590242
1215,0.024017556
1216,0.028975258
1217,0.039752945
1218,0.040599816
1219,0.046024293
1220,0.055080406
1221,0.027098995
1222,-0.003472399
1223,-0.035977162
1224,-0.08871509
1225,-0.092699125
1226,-0.11592438
1227,-0.11487699
1228,-0.100917995
1229,-0.07213217
1230,-0.02078617
1231,0.011093946
1232,0.0020379387
1233,-5.024206e-05
1234,0.0004021771
1235,-0.0023867693
1236,0.0009902772
1237,0.008927716
1238,0.02151706
1239,0.03104008
1240,0.043613516
1241,0.058251977
1242,0.064131245
1243,0.062172964
1244,0.061851382
1245,0.02768702
1246,-0.009282872
1247,-0.03951507
1248,-0.0943141
1249,-0.09855493
1250,-0.123574756
1251,-0.11996672
1252,-0.10545395
1253,-0.07279271
1254,-0.015764512
1255,0.017734274
1256,0.00925153
1257,0.008191407
1258,0.008223112
1259,0.007899317
1260,0.01486313
1261,0.029898658
1262,0.050913017
1263,0.06969865
1264,0.09392093
1265,0.10961044
1266,0.11239534
1267,0.10154435
1268,0.09433336
1269,0.05250355
1270,0.009606361
1271,-0.022973292
1272,-0.08443501
1273,-0.08870219
1274,-0.11713962
1275,-0.11654972
1276,-0.10491495
1277,-0.077086024
1278,-0.027245518
1279,0.004330933
1280,-0.0068131518
1281,-8.906331e-05
1282,0.008361962
1283,0.017963253
1284,0.035157956
1285,0.056461055
1286,0.0839853
1287,0.10772737
1288,0.13143481
1289,0.14478664
1290,0.1387803
1291,0.12603003
1292,0.118275285
1293,0.086758025
1294,0.03983865
1295,0.0020483732
1296,-0.06699937
1297,-0.072799295
1298,-0.10175014
1299,-0.100388885
1300,-0.09139658
1301,-0.06957365
1302,-0.023796404
1303,-0.0002999911
1304,-0.009247536
1305,0.0015369374
1306,0.022026923
1307,0.02995636
1308,0.045850165
1309,0.0576807
1310,0.07008782
1311,0.07702858
1312,0.077411056
1313,0.07510005
1314,0.06499354
1315,0.0458939
1316,0.03842607
1317,0.00644204
1318,-0.024434283
1319,-0.040564917
1320,-0.086366
1321,-0.098620184
1322,-0.12431945
1323,-0.116694994
